PAPEL;SEGMENTO;COTACAO;FFO_YIELD;DIVIDEND_YIELD;P_VP;VALOR_DE_MERCADO;LIQUIDEZ;QTD_DE_IMOVEIS;PRECO_DO_M2;ALUGUEL_POR_M2;CAP_RATE;VACANCIA_MEDIA
LVBI11;Logística;91.77;0.0989;0.1152;0.74;1479200000.0;3701910.0;10;2676.29;305.47;0.11410000000000001;0.0045000000000000005
MALL11;Híbrido;93.57;0.2341;0.1063;0.77;1214070000.0;2219160.0;11;3609.02;660.4;0.183;0.0364
MANA11;Títulos e Val. Mob.;7.9;0.0562;0.1559;0.87;296536000.0;1424170.0;0;0.0;0.0;0.0;0.0
MATV11;Títulos e Val. Mob.;86.63;0.1142;0.0;0.92;36901600.0;0.0;0;0.0;0.0;0.0;0.0
MAXR11;Híbrido;58.91;0.1393;0.3456;0.57;66312300.0;57623.0;8;1042.47;140.72;0.135;0.2323
MBRF11;Outros;679.0;0.0513;0.0;0.98;69029900.0;0.0;2;3831.32;128.64;0.0336;0.8198000000000001
MCCI11;Títulos e Val. Mob.;74.11;0.1265;0.1283;0.83;1256910000.0;2408030.0;0;0.0;0.0;0.0;0.0
MCEM11;Títulos e Val. Mob.;110.0;-0.0022;0.0;1.85;158935000.0;1204.0;0;0.0;0.0;0.0;0.0
MCHF11;Títulos e Val. Mob.;9.05;0.1176;0.0154;0.87;292806000.0;0.0;3;0.0;0.0;0.0;0.0
MCHY11;Títulos e Val. Mob.;8.58;0.0886;0.12560000000000002;0.84;957519000.0;0.0;1;1428.83;44.58;0.031200000000000002;0.35850000000000004
MCRE11;Títulos e Val. Mob.;7.51;0.1013;0.0394;0.74;838108000.0;4407140.0;1;1250.65;44.58;0.0356;0.35850000000000004
MFAI11;Híbrido;69.98;0.0;0.0571;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0
MFCR11;Híbrido;24.6;0.0;0.217;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0
MFII11;Híbrido;81.0;0.051399999999999994;0.1757;0.77;422204000.0;1042240.0;4;165.01;0.0;0.0;0.0
MGCR11;Títulos e Val. Mob.;9.4;0.11109999999999999;0.0;0.96;126115000.0;0.0;0;0.0;0.0;0.0;0.0
MGFF11;Títulos e Val. Mob.;69.99;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0
MGHT11;Híbrido;14.0;0.3193;0.2126;0.28;18393000.0;36075.0;1;1794.25;793.45;0.4422;0.0
MGIM11;Híbrido;101.5;-0.023799999999999998;0.0;1.03;25101000.0;0.0;0;0.0;0.0;0.0;0.0
MGLG11;Híbrido;40.99;0.054299999999999994;0.0;0.91;103703000.0;0.0;6;3132.38;66.85;0.0213;0.0872
